ANNOT	NSNP	STD	TAU1	TAU1_SE	TAU2	TAU2_SE	THETA	THETA_SE	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
base	1014252.0	0.0	1.8143960289762617e-07	3.3958724543481367e-07	-1.5690991972405754e-07	2.487035430931428e-07	3.983290497444614e-08	2.1386628645814199e-07	0.20711390016982717	0.02290653595496856	0.2210914724160055	0.023686499857369665	0.15108078058788083	0.013541217449072347	0.5028046441459784	0.1219010807899492	0.9999999335162125	2.1539077321045124e-07	1.0000000019457072	2.13566275538589e-07	1.0000001130084142	3.0255711334693124e-07	1.0	0.0	1.0	-0.0003665776597409076	8.077100311708053e-05	3.6885108740669637e-05
Coding_UCSC.bed	13672.0	0.11472617	-1.4724680568178883e-06	1.4060937019166886e-06	1.7334697304249858e-06	1.984624987017014e-06	-5.409303867054405e-07	1.2052610145474318e-06	0.017185622417648136	0.01462886636248479	0.018885126739739987	0.013218563963726088	0.014496975512026885	0.010008882584415079	0.5307354015427015	0.19403285838122877	6.325383850552814	5.247103577981407	6.223757174846669	4.463864524124503	6.8119604519388295	4.982891855061351	1.055549919281601	0.39745402050668727	0.8894190611605186	-5.1258282261986424e-05	0.0003047465387127424	0.8671185071579517
Coding_UCSC.extend.500.bed	63490.0	0.24223618	7.952323244353465e-07	4.1334379830004764e-07	4.027265845252259e-07	3.882691999024246e-07	2.847301345809683e-07	2.9910361831753107e-07	0.06548536289346794	0.018037304105935934	0.04790709749788927	0.013463900072289418	0.03403864561785847	0.014128727444607183	0.45878184759472596	0.12839035570634444	5.176573881692866	1.4764543412195168	3.45049499852961	0.9922200159011783	3.5652772599018725	1.4974821051248381	0.9124455251879667	0.2070419309502734	0.6742309316016701	-0.0006079200425176028	0.0009715389737083201	0.5343965663450216
Conserved_LindbladToh.bed	26970.0	0.16025886	5.513521728062187e-07	8.807461426840746e-07	5.48149955648114e-07	9.346192655357299e-07	8.960086574916204e-07	8.285308013000758e-07	0.0282621203545068	0.02149836418909056	0.023897968287967093	0.021748810772807724	0.032411652602399144	0.019844733446156886	0.5743940008387249	0.17555820252871907	5.191660722597993	3.9281553582923143	4.16702036108521	3.7414205404354033	8.23311337904964	5.025649656097075	1.1423800625675251	0.25297627377828463	0.5761238192151996	0.00029910708793527566	0.0012690490439681943	0.8146525723481279
Conserved_LindbladToh.extend.500.bed	360608.0	0.47874096	-1.2945125149599335e-07	2.597003856408264e-07	-1.1940196031900996e-07	2.356211012966014e-07	-2.0653365240264066e-08	1.688239308350603e-07	0.11896967715109288	0.04157165123930502	0.11003848548276186	0.03985706635033927	0.09569680003859314	0.02452884026476061	0.5411407981257114	0.15397329813042573	1.6701470919517465	0.6031126833667415	1.3762409315529305	0.47302207305318816	1.802122378612872	0.4670376388132222	1.0762446298499242	0.14901328190450094	0.6111849237529636	0.0020942076511406733	0.004213996892277247	0.6214364689542964
CTCF_Hoffman.bed	24221.0	0.15243587	-5.008533321415598e-07	1.3649909078594646e-06	-8.892936307347554e-07	1.233940793099464e-06	-1.6906298014873755e-06	1.03873446732905e-06	-0.009254090401934104	0.020209472011042565	-0.013108670798284433	0.018807643201942278	-0.019587746780279403	0.016888564789097213	0.3704818698802897	0.19020226201603202	-1.8982408507178083	4.133582286172192	-2.375182653427858	3.631072946170941	-5.289984744497056	4.652972058840211	0.7368306442546071	0.29419989882826125	0.37541371310266314	8.285800404810392e-05	0.0006524561654576017	0.899464877864881
CTCF_Hoffman.extend.500.bed	71961.0	0.25599664	-3.45909057841709e-07	6.160739189908782e-07	1.7402837215740874e-07	5.458015266412986e-07	4.868228415944031e-07	4.1893147795235564e-07	-0.003865568504727754	0.02199022947821661	0.008343860468711642	0.01744257039198368	0.017314498545095404	0.015753061936394606	0.6341169473971477	0.2858895779174355	-0.22847494767969778	1.5087748120937667	0.627663673576373	1.1161448395847877	1.6301363198505054	1.4475240731465238	1.261159686530353	0.4215026516947444	0.538396964408586	7.740135170798611e-05	0.000549061649634237	0.8884714028694534
DGF_ENCODE.bed	142683.0	0.3501331	-7.521863949477847e-07	7.486067374884442e-07	-6.935759984116885e-07	6.681866011604143e-07	1.0987434961862164e-07	4.43581228637413e-07	0.001229137325837116	0.06024949977574037	0.0073188201746699245	0.06164768935607065	0.06409245786630798	0.04161735908421953	0.5806823279456814	0.16997684961303394	-0.012451688307428245	2.0943881130600883	0.32060800464332434	1.968784751265608	3.1636326408250355	1.944896936725476	1.1548865642082116	0.1259249051590323	0.22457312059494194	0.0023639120763127076	0.005319334653230595	0.6587100958643202
DGF_ENCODE.extend.500.bed	566066.0	0.49501464	4.993455604562769e-07	2.48485179099589e-07	2.6313310286241176e-07	2.974931874177855e-07	-6.434157029389098e-08	1.5939399133912957e-07	0.20218610752954216	0.04321088481712636	0.1757337217554294	0.0371343589524929	0.1344044244835508	0.025914810694944165	0.5033336018169061	0.11672248351929188	1.7637339715878662	0.389215261489196	1.4025602988966857	0.3011351096218831	1.6000002334170593	0.29326805695358105	1.0010520142904134	0.12712853711559002	0.9934310197073761	-0.0006389025655691161	0.007098031562108599	0.9286452185645491
DHS_peaks_Trynka.bed	115724.0	0.31857702	-3.6710974882225855e-07	8.456157161162992e-07	-3.157735051217969e-08	9.479569484938111e-07	-8.098711532511516e-07	5.610765470009937e-07	0.03754968558138085	0.0415657156111882	0.056656554929082226	0.06140750097222884	0.048364995003402855	0.039219106224341854	0.522836451472466	0.13983326526605383	1.6488665271519038	1.7903687973591662	2.2501767929573013	2.4146518593214203	2.8577289329971016	2.274376579337497	1.0398401398231156	0.11400323137166085	0.7282377215141094	-0.00022607619748127457	0.003626997622925458	0.9505524113048318
